encodeur,condition,variante,vrai,predit,n
DINOv2,source,brute,cardiaque,foetal,984
DINOv2,source,brute,cardiaque,cardiaque,667
DINOv2,source,brute,cardiaque,thyroide,32
DINOv2,source,brute,cardiaque,sein,117
DINOv2,source,brute,thyroide,foetal,69
DINOv2,source,brute,thyroide,cardiaque,1
DINOv2,source,brute,thyroide,thyroide,964
DINOv2,source,brute,thyroide,sein,166
DINOv2,source,brute,sein,foetal,20
DINOv2,source,brute,sein,cardiaque,0
DINOv2,source,brute,sein,thyroide,266
DINOv2,source,brute,sein,sein,870
A0 ep100,image,equilibree,foetal,foetal,629
A0 ep100,image,equilibree,foetal,cardiaque,0
A0 ep100,image,equilibree,foetal,thyroide,0
A0 ep100,image,equilibree,foetal,sein,1
A0 ep100,image,equilibree,cardiaque,foetal,1
A0 ep100,image,equilibree,cardiaque,cardiaque,539
A0 ep100,image,equilibree,cardiaque,thyroide,0
A0 ep100,image,equilibree,cardiaque,sein,0
A0 ep100,image,equilibree,thyroide,foetal,1
A0 ep100,image,equilibree,thyroide,cardiaque,0
A0 ep100,image,equilibree,thyroide,thyroide,354
A0 ep100,image,equilibree,thyroide,sein,5
A0 ep100,image,equilibree,sein,foetal,0
A0 ep100,image,equilibree,sein,cardiaque,0
A0 ep100,image,equilibree,sein,thyroide,6
A0 ep100,image,equilibree,sein,sein,341
A0 ep100,image,brute,foetal,foetal,629
A0 ep100,image,brute,foetal,cardiaque,0
A0 ep100,image,brute,foetal,thyroide,0
A0 ep100,image,brute,foetal,sein,1
A0 ep100,image,brute,cardiaque,foetal,1
A0 ep100,image,brute,cardiaque,cardiaque,539
A0 ep100,image,brute,cardiaque,thyroide,0
A0 ep100,image,brute,cardiaque,sein,0
A0 ep100,image,brute,thyroide,foetal,0
A0 ep100,image,brute,thyroide,cardiaque,0
A0 ep100,image,brute,thyroide,thyroide,355
A0 ep100,image,brute,thyroide,sein,5
A0 ep100,image,brute,sein,foetal,0
A0 ep100,image,brute,sein,cardiaque,0
A0 ep100,image,brute,sein,thyroide,6
A0 ep100,image,brute,sein,sein,341
A0 ep100,source,equilibree,foetal,foetal,1552
A0 ep100,source,equilibree,foetal,cardiaque,344
A0 ep100,source,equilibree,foetal,thyroide,62
A0 ep100,source,equilibree,foetal,sein,142
A0 ep100,source,equilibree,cardiaque,foetal,726
A0 ep100,source,equilibree,cardiaque,cardiaque,762
A0 ep100,source,equilibree,cardiaque,thyroide,287
A0 ep100,source,equilibree,cardiaque,sein,25
A0 ep100,source,equilibree,thyroide,foetal,82
