encodeur,condition,variante,type,statistique,estimation,ic_bas,ic_haut
DINOv2,image,brute,grappe_sources,f1_macro,0.9877302189142676,0.9715586233409498,0.9951029741858332
DINOv2,source,equilibree,image,exactitude,0.7336956521739131,0.7231417838874681,0.7448889066496164
DINOv2,source,equilibree,image,exactitude_equilibree,0.735597126105344,0.7249486138367714,0.7458827950753409
DINOv2,source,equilibree,image,f1_macro,0.7214900233862679,0.7096037686264777,0.7332590338313706
DINOv2,source,equilibree,grappe_sources,exactitude,0.7336956521739131,0.5588123447301411,0.8911673321384826
DINOv2,source,equilibree,grappe_sources,exactitude_equilibree,0.735597126105344,0.6482644841269842,0.883513759086189
DINOv2,source,equilibree,grappe_sources,f1_macro,0.7214900233862679,0.5710858306620391,0.8730670610400766
DINOv2,source,brute,image,exactitude,0.7074808184143222,0.6966072570332481,0.7194693094629157
DINOv2,source,brute,image,exactitude_equilibree,0.7107876778162245,0.7004444278508668,0.7216089198986272
DINOv2,source,brute,image,f1_macro,0.6964127222414722,0.6852515290192986,0.7090859694534759
DINOv2,source,brute,grappe_sources,exactitude,0.7074808184143222,0.5040922619047619,0.8825963579817744
DINOv2,source,brute,grappe_sources,exactitude_equilibree,0.7107876778162245,0.6172324970053369,0.8724742992033129
DINOv2,source,brute,grappe_sources,f1_macro,0.6964127222414722,0.5232757319282129,0.8629545496176801
A0 ep100,image,equilibree,image,exactitude,0.9925412892914225,0.9888119339371337,0.9962706446457112
A0 ep100,image,equilibree,image,exactitude_equilibree,0.9906507784029398,0.985627782586429,0.995193318327048
A0 ep100,image,equilibree,image,f1_macro,0.9906841046892161,0.9855747944623587,0.9953257824887293
A0 ep100,image,equilibree,grappe_sources,exactitude,0.9925412892914225,0.986680873734683,0.9968886123210952
A0 ep100,image,equilibree,grappe_sources,exactitude_equilibree,0.9906507784029398,0.9855056011752853,0.9958333333333332
A0 ep100,image,equilibree,grappe_sources,f1_macro,0.9906841046892161,0.9801119854640595,0.9953682452648213
A0 ep100,image,brute,image,exactitude,0.9930740543420352,0.9893446989877464,0.9962706446457112
A0 ep100,image,brute,image,exactitude_equilibree,0.9913452228473842,0.986477624252612,0.9956575015716382
A0 ep100,image,brute,image,f1_macro,0.9912345649997104,0.9862529765709374,0.9954615814514023
A0 ep100,image,brute,grappe_sources,exactitude,0.9930740543420352,0.987219898339862,0.997356174241649
A0 ep100,image,brute,grappe_sources,exactitude_equilibree,0.9913452228473842,0.9858014161446657,0.9964817708333333
A0 ep100,image,brute,grappe_sources,f1_macro,0.9912345649997104,0.98151859662417,0.9957716967491916
A0 ep100,source,equilibree,image,exactitude,0.6387468030690537,0.6269181585677749,0.6500999040920716
A0 ep100,source,equilibree,image,exactitude_equilibree,0.6483626833086176,0.6369576055308948,0.6596948197823924
A0 ep100,source,equilibree,image,f1_macro,0.6324644576994307,0.6204041102437051,0.6438027190901807
A0 ep100,source,equilibree,grappe_sources,exactitude,0.6387468030690537,0.5142280303030303,0.7623637841005968
A0 ep100,source,equilibree,grappe_sources,exactitude_equilibree,0.6483626833086176,0.5145232089328536,0.7480190925021969
A0 ep100,source,equilibree,grappe_sources,f1_macro,0.6324644576994307,0.47024071472328743,0.7319520530823749
A0 ep100,source,brute,image,exactitude,0.6513746803069054,0.6397058823529411,0.663207320971867
A0 ep100,source,brute,image,exactitude_equilibree,0.65991620667875,0.648184215408103,0.6713730914863055
A0 ep100,source,brute,image,f1_macro,0.6456437228170914,0.6334992329550807,0.6581094628355265
A0 ep100,source,brute,grappe_sources,exactitude,0.6513746803069054,0.5312858056265984,0.7671864881376641
A0 ep100,source,brute,grappe_sources,exactitude_equilibree,0.65991620667875,0.5321201083616403,0.7601205291988068
A0 ep100,source,brute,grappe_sources,f1_macro,0.6456437228170914,0.49947478187021843,0.7331136792807045
