encodeur,condition,variante,vrai,predit,n
A0 ep100,image,brute,cardiaque,foetal,1
A0 ep100,image,brute,cardiaque,cardiaque,539
A0 ep100,image,brute,cardiaque,thyroide,0
A0 ep100,image,brute,cardiaque,sein,0
A0 ep100,image,brute,thyroide,foetal,0
A0 ep100,image,brute,thyroide,cardiaque,1
A0 ep100,image,brute,thyroide,thyroide,265
A0 ep100,image,brute,thyroide,sein,4
A0 ep100,image,brute,sein,foetal,1
A0 ep100,image,brute,sein,cardiaque,0
A0 ep100,image,brute,sein,thyroide,6
A0 ep100,image,brute,sein,sein,340
A0 ep100,source,equilibree,foetal,foetal,1386
A0 ep100,source,equilibree,foetal,cardiaque,262
A0 ep100,source,equilibree,foetal,thyroide,60
A0 ep100,source,equilibree,foetal,sein,92
A0 ep100,source,equilibree,cardiaque,foetal,980
A0 ep100,source,equilibree,cardiaque,cardiaque,569
A0 ep100,source,equilibree,cardiaque,thyroide,239
A0 ep100,source,equilibree,cardiaque,sein,12
A0 ep100,source,equilibree,thyroide,foetal,86
A0 ep100,source,equilibree,thyroide,cardiaque,8
A0 ep100,source,equilibree,thyroide,thyroide,699
A0 ep100,source,equilibree,thyroide,sein,107
A0 ep100,source,equilibree,sein,foetal,38
A0 ep100,source,equilibree,sein,cardiaque,2
A0 ep100,source,equilibree,sein,thyroide,163
A0 ep100,source,equilibree,sein,sein,953
A0 ep100,source,brute,foetal,foetal,1383
A0 ep100,source,brute,foetal,cardiaque,271
A0 ep100,source,brute,foetal,thyroide,59
A0 ep100,source,brute,foetal,sein,87
A0 ep100,source,brute,cardiaque,foetal,1017
A0 ep100,source,brute,cardiaque,cardiaque,548
A0 ep100,source,brute,cardiaque,thyroide,224
A0 ep100,source,brute,cardiaque,sein,11
A0 ep100,source,brute,thyroide,foetal,84
A0 ep100,source,brute,thyroide,cardiaque,8
A0 ep100,source,brute,thyroide,thyroide,695
A0 ep100,source,brute,thyroide,sein,113
A0 ep100,source,brute,sein,foetal,43
A0 ep100,source,brute,sein,cardiaque,2
A0 ep100,source,brute,sein,thyroide,169
A0 ep100,source,brute,sein,sein,942
A0 ep200,image,equilibree,foetal,foetal,537
A0 ep200,image,equilibree,foetal,cardiaque,2
A0 ep200,image,equilibree,foetal,thyroide,0
A0 ep200,image,equilibree,foetal,sein,1
A0 ep200,image,equilibree,cardiaque,foetal,1
A0 ep200,image,equilibree,cardiaque,cardiaque,539
A0 ep200,image,equilibree,cardiaque,thyroide,0
A0 ep200,image,equilibree,cardiaque,sein,0
A0 ep200,image,equilibree,thyroide,foetal,1
A0 ep200,image,equilibree,thyroide,cardiaque,0
A0 ep200,image,equilibree,thyroide,thyroide,263
A0 ep200,image,equilibree,thyroide,sein,6
A0 ep200,image,equilibree,sein,foetal,1
A0 ep200,image,equilibree,sein,cardiaque,0
A0 ep200,image,equilibree,sein,thyroide,6
A0 ep200,image,equilibree,sein,sein,340
A0 ep200,image,brute,foetal,foetal,537
A0 ep200,image,brute,foetal,cardiaque,2
A0 ep200,image,brute,foetal,thyroide,0
A0 ep200,image,brute,foetal,sein,1
