encodeur,condition,variante,pli,n_test,exactitude,exactitude_equilibree,f1_macro,rappel_foetal,rappel_cardiaque,rappel_thyroide,rappel_sein
DINOv2,image_cv,brute,2,1885,0.9872679045092838,0.9829545454545454,0.9833793781411148,0.9933333333333333,1.0,0.9566666666666667,0.9818181818181818
A0 ep100,image_cv,equilibree,regroupe,5656,0.9888613861386139,0.9867858515955402,0.9866812079322111,0.9911111111111112,0.9966666666666667,0.9766666666666667,0.9826989619377162
A0 ep100,image_cv,equilibree,0,1885,0.9877984084880637,0.9844372294372294,0.985091667662594,0.9933333333333333,0.9966666666666667,0.9633333333333334,0.9844155844155844
A0 ep100,image_cv,equilibree,1,1886,0.9904559915164369,0.988011658031088,0.9878786552856913,0.995,0.9966666666666667,0.9733333333333334,0.9870466321243523
A0 ep100,image_cv,equilibree,2,1885,0.9883289124668435,0.9879058441558441,0.9870474638452786,0.985,0.9966666666666667,0.9933333333333333,0.9766233766233766
A0 ep100,image_cv,brute,regroupe,5656,0.9892149929278642,0.9871568627450981,0.9872068866870807,0.9911111111111112,0.9966666666666667,0.9755555555555555,0.9852941176470589
A0 ep100,image_cv,brute,0,1885,0.9872679045092838,0.9836038961038962,0.9843430673884532,0.9933333333333333,0.9966666666666667,0.96,0.9844155844155844
A0 ep100,image_cv,brute,1,1886,0.9909862142099682,0.9886593264248704,0.9886138155387414,0.995,0.9966666666666667,0.9733333333333334,0.9896373056994818
A0 ep100,image_cv,brute,2,1885,0.9893899204244032,0.9892045454545455,0.9886375014326527,0.985,0.9966666666666667,0.9933333333333333,0.9818181818181818
A0 ep200,image_cv,equilibree,regroupe,5656,0.9904526166902404,0.9882362552864283,0.9881020992406349,0.9933333333333333,0.9988888888888889,0.9788888888888889,0.9818339100346021
A0 ep200,image_cv,equilibree,0,1885,0.9883289124668435,0.9854545454545455,0.985342258088292,0.9916666666666667,0.9983333333333333,0.97,0.9818181818181818
A0 ep200,image_cv,equilibree,1,1886,0.9920466595970308,0.989261658031088,0.9895146659895369,0.9966666666666667,1.0,0.9733333333333334,0.9870466321243523
A0 ep200,image_cv,equilibree,2,1885,0.9909814323607427,0.9899891774891775,0.9894468285897905,0.9916666666666667,0.9983333333333333,0.9933333333333333,0.9766233766233766
A0 ep200,image_cv,brute,regroupe,5656,0.989922206506365,0.9872025182622068,0.9873860502579903,0.9938888888888889,0.9988888888888889,0.9733333333333334,0.9826989619377162
A0 ep200,image_cv,brute,0,1885,0.9872679045092838,0.9833712121212121,0.9838215324796251,0.9933333333333333,0.9983333333333333,0.96,0.9818181818181818
A0 ep200,image_cv,brute,1,1886,0.9920466595970308,0.9890759930915372,0.9895101088841535,0.9966666666666667,1.0,0.97,0.9896373056994818
A0 ep200,image_cv,brute,2,1885,0.9904509283819629,0.9891558441558441,0.9888193258078806,0.9916666666666667,0.9983333333333333,0.99,0.9766233766233766
A0 ep300,image_cv,equilibree,regroupe,5656,0.9888613861386139,0.9861529219530949,0.9862697723107732,0.9927777777777778,0.9977777777777778,0.9722222222222222,0.9818339100346021
A0 ep300,image_cv,equilibree,0,1885,0.9846153846153847,0.9804058441558441,0.98085872997738,0.9916666666666667,0.9966666666666667,0.9566666666666667,0.9766233766233766
A0 ep300,image_cv,equilibree,1,1886,0.9904559915164369,0.9875949913644213,0.9879361762134726,0.9933333333333333,1.0,0.97,0.9870466321243523
A0 ep300,image_cv,equilibree,2,1885,0.9915119363395225,0.9904545454545455,0.9900130200253816,0.9933333333333333,0.9966666666666667,0.99,0.9818181818181818
A0 ep300,image_cv,brute,regroupe,5656,0.9893917963224894,0.9868017108804306,0.9870440424009357,0.9927777777777778,0.9977777777777778,0.9722222222222222,0.9844290657439446
A0 ep300,image_cv,brute,0,1885,0.9856763925729443,0.9817045454545454,0.982332097790481,0.9916666666666667,0.9966666666666667,0.9566666666666667,0.9818181818181818
A0 ep300,image_cv,brute,1,1886,0.9904559915164369,0.9875949913644213,0.9880435001107395,0.9933333333333333,1.0,0.97,0.9870466321243523
A0 ep300,image_cv,brute,2,1885,0.9920424403183024,0.991103896103896,0.990749612136301,0.9933333333333333,0.9966666666666667,0.99,0.9844155844155844
FOETAL ep50,image_cv,equilibree,regroupe,5656,0.9874469589816125,0.9854882737408688,0.9851971920695424,0.9883333333333333,0.9972222222222222,0.9788888888888889,0.9775086505190311
FOETAL ep50,image_cv,equilibree,0,1885,0.9840848806366048,0.9812391774891774,0.9811271816152765,0.9866666666666667,0.995,0.9666666666666667,0.9766233766233766
FOETAL ep50,image_cv,equilibree,1,1886,0.9909862142099682,0.9886139896373056,0.9887946471010172,0.995,0.9983333333333333,0.9766666666666667,0.9844559585492227
FOETAL ep50,image_cv,equilibree,2,1885,0.9872679045092838,0.9866071428571428,0.9856536805780118,0.9833333333333333,0.9983333333333333,0.9933333333333333,0.9714285714285714
FOETAL ep50,image_cv,brute,regroupe,5656,0.9874469589816125,0.9852104959630912,0.985156313758687,0.9888888888888889,0.9977777777777778,0.9766666666666667,0.9775086505190311
FOETAL ep50,image_cv,brute,0,1885,0.9840848806366048,0.9810064935064935,0.9811142871390229,0.9866666666666667,0.9966666666666667,0.9666666666666667,0.974025974025974
FOETAL ep50,image_cv,brute,1,1886,0.9899257688229056,0.9869473229706389,0.9874143275007711,0.995,0.9983333333333333,0.97,0.9844559585492227
FOETAL ep50,image_cv,brute,2,1885,0.9883289124668435,0.9876731601731601,0.9869235254363197,0.985,0.9983333333333333,0.9933333333333333,0.974025974025974
FOETAL ep100,image_cv,equilibree,regroupe,5656,0.987093352192362,0.9844069588619762,0.9841338390510099,0.9905555555555555,0.9983333333333333,0.9755555555555555,0.9731833910034602
FOETAL ep100,image_cv,equilibree,0,1885,0.9877984084880637,0.9852218614718615,0.9853337785265638,0.9916666666666667,0.9966666666666667,0.9733333333333334,0.9792207792207792
FOETAL ep100,image_cv,equilibree,1,1886,0.986744432661718,0.9827353195164076,0.9828847694998841,0.9916666666666667,1.0,0.96,0.9792746113989638
FOETAL ep100,image_cv,equilibree,2,1885,0.986737400530504,0.9852597402597403,0.9841562490561209,0.9883333333333333,0.9983333333333333,0.9933333333333333,0.961038961038961
FOETAL ep100,image_cv,brute,regroupe,5656,0.9874469589816125,0.9848553440984237,0.9847949677336195,0.9905555555555555,0.9977777777777778,0.9744444444444444,0.976643598615917
FOETAL ep100,image_cv,brute,0,1885,0.986737400530504,0.9837391774891774,0.9840490098053818,0.9916666666666667,0.9966666666666667,0.97,0.9766233766233766
FOETAL ep100,image_cv,brute,1,1886,0.9878048780487805,0.9840306563039724,0.9843547833442335,0.9916666666666667,1.0,0.96,0.9844559585492227
FOETAL ep100,image_cv,brute,2,1885,0.9877984084880637,0.9867911255411255,0.9859503411929866,0.9883333333333333,0.9966666666666667,0.9933333333333333,0.9688311688311688
