encodeur,condition,variante,type,statistique,estimation,ic_bas,ic_haut
FOETAL ep100,image,equilibree,grappe_sources,exactitude,0.9893930465527401,0.9817779426650362,0.9951736171286432
FOETAL ep100,image,equilibree,grappe_sources,exactitude_equilibree,0.9866754723022735,0.9788454861111112,0.9930709286478276
FOETAL ep100,image,equilibree,grappe_sources,f1_macro,0.9866256685041142,0.9717490091357301,0.9941040675471097
FOETAL ep100,image,brute,image,exactitude,0.9888037713612257,0.9835002946375958,0.9941072480848556
FOETAL ep100,image,brute,image,exactitude_equilibree,0.9859550112071727,0.9794135701524938,0.992597287368225
FOETAL ep100,image,brute,image,f1_macro,0.9860293878642266,0.9796688048649473,0.9925253606296376
FOETAL ep100,image,brute,grappe_sources,exactitude,0.9888037713612257,0.9810416909018056,0.9947402159244264
FOETAL ep100,image,brute,grappe_sources,exactitude_equilibree,0.9859550112071727,0.9777749226930916,0.9925597643097642
FOETAL ep100,image,brute,grappe_sources,f1_macro,0.9860293878642266,0.9732522357403306,0.9930138072736748
FOETAL ep100,source,equilibree,image,exactitude,0.6221711456859972,0.6087296676096181,0.634016973125884
FOETAL ep100,source,equilibree,image,exactitude_equilibree,0.659305074971165,0.6466454810084791,0.6699080278478414
FOETAL ep100,source,equilibree,image,f1_macro,0.6352329271821291,0.6216641701423449,0.646214627329091
FOETAL ep100,source,equilibree,grappe_sources,exactitude,0.6221711456859972,0.4600380264966879,0.7869030114008035
FOETAL ep100,source,equilibree,grappe_sources,exactitude_equilibree,0.659305074971165,0.5244398470289375,0.7577736949759893
FOETAL ep100,source,equilibree,grappe_sources,f1_macro,0.6352329271821291,0.49123700710192514,0.7426075756505013
FOETAL ep100,source,brute,image,exactitude,0.6193422913719944,0.6062588401697313,0.6322577793493634
FOETAL ep100,source,brute,image,exactitude_equilibree,0.6578565936178393,0.6460654431866582,0.669278823160439
FOETAL ep100,source,brute,image,f1_macro,0.6336291421439257,0.6215920522606797,0.6458962076713377
FOETAL ep100,source,brute,grappe_sources,exactitude,0.6193422913719944,0.460990137822291,0.7883476656025539
FOETAL ep100,source,brute,grappe_sources,exactitude_equilibree,0.6578565936178393,0.5211658501221001,0.757832260889086
FOETAL ep100,source,brute,grappe_sources,f1_macro,0.6336291421439257,0.4910554032143364,0.7400267018901885
