encodeur,condition,variante,type,statistique,estimation,ic_bas,ic_haut
A0 ep100,image_cv,equilibree,image,exactitude,0.9888613861386139,0.9860281117397454,0.9915134370579916
A0 ep100,image_cv,equilibree,image,exactitude_equilibree,0.9867858515955402,0.9833294824375777,0.990055116653487
A0 ep100,image_cv,equilibree,image,f1_macro,0.9866812079322111,0.9832803108304093,0.989972902346839
A0 ep100,image_cv,equilibree,grappe_sources,exactitude,0.9888613861386139,0.981874214385475,0.9940364832535885
A0 ep100,image_cv,equilibree,grappe_sources,exactitude_equilibree,0.9867858515955402,0.9795102454584775,0.9929452291776182
A0 ep100,image_cv,equilibree,grappe_sources,f1_macro,0.9866812079322111,0.9738019030694788,0.9925651850786306
A0 ep100,image_cv,brute,image,exactitude,0.9892149929278642,0.9863861386138614,0.9916902404526167
A0 ep100,image_cv,brute,image,exactitude_equilibree,0.9871568627450981,0.9834837377025221,0.9901339381038191
A0 ep100,image_cv,brute,image,f1_macro,0.9872068866870807,0.9837748872404521,0.9901672817817232
A0 ep100,image_cv,brute,grappe_sources,exactitude,0.9892149929278642,0.9830407023144453,0.9941279761904761
A0 ep100,image_cv,brute,grappe_sources,exactitude_equilibree,0.9871568627450981,0.9801109379378266,0.9929413768984812
A0 ep100,image_cv,brute,grappe_sources,f1_macro,0.9872068866870807,0.9741486114696842,0.992909201072442
A0 ep200,image_cv,equilibree,image,exactitude,0.9904526166902404,0.9878005657708628,0.9929278642149929
A0 ep200,image_cv,equilibree,image,exactitude_equilibree,0.9882362552864283,0.9850337461242673,0.9912949834670196
A0 ep200,image_cv,equilibree,image,f1_macro,0.9881020992406349,0.9849334306118757,0.9912454891576387
A0 ep200,image_cv,equilibree,grappe_sources,exactitude,0.9904526166902404,0.9832938414400687,0.9957295062713556
A0 ep200,image_cv,equilibree,grappe_sources,exactitude_equilibree,0.9882362552864283,0.9807629505478662,0.9945122040973253
A0 ep200,image_cv,equilibree,grappe_sources,f1_macro,0.9881020992406349,0.9740098984215245,0.9942460547978221
A0 ep200,image_cv,brute,image,exactitude,0.989922206506365,0.9872701555869873,0.9925742574257426
A0 ep200,image_cv,brute,image,exactitude_equilibree,0.9872025182622068,0.9838582659225771,0.9905055702575392
A0 ep200,image_cv,brute,image,f1_macro,0.9873860502579903,0.9841921642546373,0.9906642378255252
A0 ep200,image_cv,brute,grappe_sources,exactitude,0.989922206506365,0.9820791894449117,0.9956848967848009
A0 ep200,image_cv,brute,grappe_sources,exactitude_equilibree,0.9872025182622068,0.9785510793696564,0.9938160579961327
A0 ep200,image_cv,brute,grappe_sources,f1_macro,0.9873860502579903,0.9737585271698591,0.9939365640699086
A0 ep300,image_cv,equilibree,image,exactitude,0.9888613861386139,0.9862093352192363,0.9915134370579916
A0 ep300,image_cv,equilibree,image,exactitude_equilibree,0.9861529219530949,0.9827176654559223,0.9895760555273491
A0 ep300,image_cv,equilibree,image,f1_macro,0.9862697723107732,0.9831165080422736,0.9896257128200007
