encodeur,condition,variante,pli,n_test,exactitude,exactitude_equilibree,f1_macro,rappel_foetal,rappel_cardiaque,rappel_thyroide,rappel_sein
IN1K,source,equilibree,1,2356,0.5012733446519525,0.7287440047961631,0.5415772650236166,0.99,0.095,0.9666666666666667,0.8633093525179856
IN1K,source,equilibree,2,1500,0.902,0.9058333333333334,0.8961014115786026,0.8866666666666667,0.9766666666666667,0.78,0.98
IN1K,source,brute,regroupe,5656,0.7066831683168316,0.7382035755478662,0.7149234373733714,0.7961111111111111,0.45055555555555554,0.8566666666666667,0.8494809688581315
IN1K,source,brute,0,1800,0.7488888888888889,0.7883333333333333,0.7434911218923252,0.67,1.0,0.8366666666666667,0.6466666666666666
IN1K,source,brute,1,2356,0.5492359932088285,0.7551813549160671,0.585859583346283,0.9866666666666667,0.17916666666666667,0.97,0.8848920863309353
IN1K,source,brute,2,1500,0.9033333333333333,0.9066666666666667,0.896173024452979,0.89,0.9866666666666667,0.7633333333333333,0.9866666666666667
DINOv2,image,equilibree,regroupe,1697,0.9899823217442546,0.9863659408688227,0.9863659404719062,0.9981481481481481,1.0,0.9703703703703703,0.9769452449567724
DINOv2,image,brute,regroupe,1697,0.9911608721272834,0.9880123278898495,0.988012327492933,0.9981481481481481,1.0,0.9740740740740741,0.9798270893371758
DINOv2,source,equilibree,regroupe,5656,0.7218882602545968,0.7470842945021147,0.7261527152510676,0.8566666666666667,0.44166666666666665,0.8111111111111111,0.8788927335640139
DINOv2,source,equilibree,0,1800,0.7983333333333333,0.8102777777777778,0.7819823935426945,0.7744444444444445,0.9933333333333333,0.7066666666666667,0.7666666666666667
DINOv2,source,equilibree,1,2356,0.5483870967741935,0.7578462230215828,0.5961722530759264,0.9933333333333333,0.17083333333333334,0.9733333333333334,0.8938848920863309
DINOv2,source,equilibree,2,1500,0.9026666666666666,0.9004166666666666,0.8924378729078727,0.9116666666666666,0.9733333333333334,0.7533333333333333,0.9633333333333334
DINOv2,source,brute,regroupe,5656,0.7206506364922206,0.7473442906574395,0.7261089811558323,0.8316666666666667,0.46055555555555555,0.8277777777777777,0.8693771626297578
DINOv2,source,brute,0,1800,0.7905555555555556,0.8080555555555555,0.7751553293624246,0.7555555555555555,0.9933333333333333,0.7366666666666667,0.7466666666666667
DINOv2,source,brute,1,2356,0.5602716468590832,0.7629556354916067,0.6070810363075678,0.9933333333333333,0.19666666666666666,0.9733333333333334,0.8884892086330936
DINOv2,source,brute,2,1500,0.8886666666666667,0.8945833333333333,0.8821686213294202,0.865,0.9833333333333333,0.7733333333333333,0.9566666666666667
A0 ep100,image,equilibree,regroupe,1697,0.9888037713612257,0.9870864019639235,0.9868606556845119,0.9888888888888889,0.9981481481481481,0.9814814814814815,0.9798270893371758
A0 ep100,image,brute,regroupe,1697,0.9888037713612257,0.9870864019639235,0.9868606556845119,0.9888888888888889,0.9981481481481481,0.9814814814814815,0.9798270893371758
A0 ep100,source,equilibree,regroupe,5656,0.6377298444130127,0.6717930603613995,0.6442286142293125,0.77,0.3161111111111111,0.7766666666666666,0.8243944636678201
A0 ep100,source,equilibree,0,1800,0.595,0.5513888888888889,0.5427264662696085,0.6822222222222222,0.21,0.69,0.6233333333333333
A0 ep100,source,equilibree,1,2356,0.6039898132427843,0.7651139088729016,0.6639198162081712,0.9766666666666667,0.32,0.9166666666666666,0.8471223021582733
A0 ep100,source,equilibree,2,1500,0.742,0.7279166666666667,0.722760070573544,0.7983333333333333,0.4066666666666667,0.7233333333333334,0.9833333333333333
A0 ep100,source,brute,regroupe,5656,0.6308345120226309,0.6649697231833911,0.6377776640931748,0.7683333333333333,0.30444444444444446,0.7722222222222223,0.8148788927335641
A0 ep100,source,brute,0,1800,0.6033333333333334,0.5666666666666667,0.5583388441534304,0.6766666666666666,0.26,0.6966666666666667,0.6333333333333333
A0 ep100,source,brute,1,2356,0.5747028862478778,0.7479856115107913,0.6398697054875403,0.9766666666666667,0.2733333333333333,0.92,0.8219424460431655
A0 ep100,source,brute,2,1500,0.752,0.7395833333333333,0.7371830932305998,0.8016666666666666,0.47333333333333333,0.7,0.9833333333333333
A0 ep200,image,equilibree,regroupe,1697,0.9893930465527401,0.9866234390009606,0.9868443968091393,0.9944444444444445,0.9981481481481481,0.9740740740740741,0.9798270893371758
A0 ep200,image,brute,regroupe,1697,0.9893930465527401,0.9866234390009606,0.9868443968091393,0.9944444444444445,0.9981481481481481,0.9740740740740741,0.9798270893371758
A0 ep200,source,equilibree,regroupe,5656,0.632956152758133,0.6640133602460592,0.639445999310094,0.7555555555555555,0.3338888888888889,0.75,0.8166089965397924
A0 ep200,source,equilibree,0,1800,0.5916666666666667,0.5486111111111112,0.5428422264449708,0.6777777777777778,0.29333333333333333,0.6466666666666666,0.5766666666666667
A0 ep200,source,equilibree,1,2356,0.5895585738539898,0.7577023381294964,0.6577092220643341,0.9566666666666667,0.2875,0.9233333333333333,0.8633093525179856
A0 ep200,source,equilibree,2,1500,0.7506666666666667,0.7454166666666666,0.7418398916571152,0.7716666666666666,0.56,0.68,0.97
A0 ep200,source,brute,regroupe,5656,0.6227015558698727,0.6542594194540561,0.6298351853077663,0.7527777777777778,0.31222222222222223,0.7388888888888889,0.8131487889273357
A0 ep200,source,brute,0,1800,0.5988888888888889,0.5627777777777778,0.5572479541074633,0.6711111111111111,0.37,0.6266666666666667,0.5833333333333334
